latitude,longitude,type,urgency,Baby_Items,Blankets/Bedding,Boats,Cleaning,Clothing,Construction/Repairs,Cooked_Food,Cooking,Counseling/Mental_Health,Driving,Dry_Rations,Evacuation,Food,General_Help,Heavy_Lifting,Hygiene_Products,Medical/Healthcare,Medicine,Other,Search_&_Rescue,Technical_Advisory,Translation/Communication,Transportation,Water,district
7.0181561,80.4927826,Other,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,kandy
6.60293494,79.95354044,Kitchen,medium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,kalutara
6.7362955,80.1694388,Other,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,kalutara
7.72489773,80.14197915,Private Land,medium,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,kurunegala
7.15887086,80.56336268,Private Land,high,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,kandy
6.9324786,79.9005069,Other,emergency,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,colombo
6.9324786,79.9005069,Other,emergency,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,colombo
7.0461994,80.2500264,Other,emergency,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,kegalle
7.2634021,80.5988269,School,medium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,kandy
7.2698055,80.6040594,Other,high,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,kandy
6.9224395,79.8524559,School,high,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,colombo
6.91758548,79.86415057,Private Land,high,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,colombo
6.9007487,79.8534238,nan,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,colombo
6.2678458,80.0387116,Volunteer Contribution,low,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,galle
7.2604588,80.6858434,Volunteer Contribution,low,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,kandy
6.9778284,79.9271523,Volunteer Contribution,low,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,gampaha
7.3240753,80.6191626,Volunteer Contribution,low,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,kandy
6.8875934,79.8779604,Volunteer Contribution,low,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,colombo
7.184805,79.9093002,Volunteer Contribution,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gampaha
6.8390825,79.8709594,Volunteer Contribution,low,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,colombo
6.774112708,79.91577882,Volunteer Contribution,low,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,colombo
6.598109236,80.01288597,Volunteer Contribution,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,kalutara
6.95077921,79.86407609,Volunteer Contribution,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colombo
6.7875648,79.928017,Volunteer Contribution,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,colombo
8.0407913,79.839386,Volunteer Contribution,low,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,puttalam
6.6865825,79.9222434,Volunteer Contribution,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,kalutara
6.8900803,79.8710054,Volunteer Contribution,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,colombo
7.348094139,79.82915998,Volunteer Contribution,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,puttalam
6.9155224,79.8502767,Volunteer Contribution,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,colombo
6.813534,79.9197932,Volunteer Contribution,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,colombo
6.913121555,79.96594662,Volunteer Contribution,low,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,colombo
6.8649081,79.8996789,Volunteer Contribution,low,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,colombo
6.9269974,80.2183628,Volunteer Contribution,low,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,gampaha
