city,district
Pannimulla Panagoda,Galle
Parana Thanayamgoda,Galle
Patana,Galle
Pitigala,Galle
Poddala,Galle
Polgampola,Galle
Porawagama,Galle
Rantotuwila,Galle
Talagampola,Galle
Talgaspe,Galle
Talpe,Galle
Tawalama,Galle
Tiranagama,Galle
Udalamatta,Galle
Udugama,Galle
Uluvitike,Galle
Unawatuna,Galle
Unawitiya,Galle
Uragaha,Galle
Uragasmanhandiya,Galle
Wakwella,Galle
Walahanduwa,Galle
Wanchawela,Galle
Wanduramba,Galle
Warukandeniya,Galle
Watugedara,Galle
Weihena,Galle
Welikanda,Galle
Wilanagama,Galle
Yakkalamulla,Galle
Yatalamatta,Galle
Akaragama,Gampaha
Ambagaspitiya,Gampaha
Ambepussa,Gampaha
Andiambalama,Gampaha
Attanagalla,Gampaha
Badalgama,Gampaha
Banduragoda,Gampaha
Batuwatta,Gampaha
Bemmulla,Gampaha
Biyagama IPZ,Gampaha
Bokalagama,Gampaha
Bollete (WP),Gampaha
Bopagama,Gampaha
Buthpitiya,Gampaha
Dagonna,Gampaha
Danowita,Gampaha
Debahera,Gampaha
Dekatana,Gampaha
Delgoda,Gampaha
Delwagura,Gampaha
Demalagama,Gampaha
Demanhandiya,Gampaha
Dewalapola,Gampaha
Divulapitiya,Gampaha
Divuldeniya,Gampaha
Dompe,Gampaha
Dunagaha,Gampaha
Ekala,Gampaha
Ellakkala,Gampaha
Essella,Gampaha
Galedanda,Gampaha
Gampaha,Gampaha
Ganemulla,Gampaha
Giriulla,Gampaha
Gonawala,Gampaha
Halpe,Gampaha
Hapugastenna,Gampaha
Heiyanthuduwa,Gampaha
Hinatiyana Madawala,Gampaha
Hiswella,Gampaha
Horampella,Gampaha
Hunumulla,Gampaha
Hunupola,Gampaha
Ihala Madampella,Gampaha
Imbulgoda,Gampaha
Ja-Ela,Gampaha
Kadawatha,Gampaha
Kahatowita,Gampaha
Kalagedihena,Gampaha
Kaleliya,Gampaha
Kandana,Gampaha
Katana,Gampaha
Katudeniya,Gampaha
Katunayake,Gampaha
Katunayake Air Force Camp,Gampaha
Katunayake(FTZ),Gampaha
Katuwellegama,Gampaha
Kelaniya,Gampaha
Kimbulapitiya,Gampaha
Kirindiwela,Gampaha
Kitalawalana,Gampaha
Kochchikade,Gampaha
Kotadeniyawa,Gampaha
Kotugoda,Gampaha
Kumbaloluwa,Gampaha
Loluwagoda,Gampaha
Mabodale,Gampaha
Madelgamuwa,Gampaha
Makewita,Gampaha
Makola,Gampaha
Malwana,Gampaha
Mandawala,Gampaha
Marandagahamula,Gampaha
Mellawagedara,Gampaha
Minuwangoda,Gampaha
Mirigama,Gampaha
Miriswatta,Gampaha
Mithirigala,Gampaha
Muddaragama,Gampaha
Mudungoda,Gampaha
Mulleriyawa New Town,Gampaha
Naranwala,Gampaha
Nawana,Gampaha
Nedungamuwa,Gampaha
Negombo,Gampaha
Nikadalupotha,Gampaha
Nikahetikanda,Gampaha
Nittambuwa,Gampaha
Niwandama,Gampaha
Opatha,Gampaha
Pamunugama,Gampaha
Pamunuwatta,Gampaha
Panawala,Gampaha
Pasyala,Gampaha
Peliyagoda,Gampaha
Pepiliyawala,Gampaha
Pethiyagoda,Gampaha
Polpithimukulana,Gampaha
Puwakpitiya,Gampaha
Radawadunna,Gampaha
Radawana,Gampaha
Raddolugama,Gampaha
Ragama,Gampaha
Ruggahawila,Gampaha
Seeduwa,Gampaha
Siyambalape,Gampaha
Talahena,Gampaha
Thambagalla,Gampaha
Thimbirigaskatuwa,Gampaha
Tittapattara,Gampaha
Udathuthiripitiya,Gampaha
Udugampola,Gampaha
Uggalboda,Gampaha
Urapola,Gampaha
Uswetakeiyawa,Gampaha
Veyangoda,Gampaha
Walgammulla,Gampaha
Walpita,Gampaha
Walpola (WP),Gampaha
Wathurugama,Gampaha
Watinapaha,Gampaha
Wattala,Gampaha
Weboda,Gampaha
Wegowwa,Gampaha
Weweldeniya,Gampaha
Yakkala,Gampaha
Yatiyana,Gampaha
Ambalantota,Hambantota
Angunakolapelessa,Hambantota
Angunakolawewa,Hambantota
Bandagiriya Colony,Hambantota
Barawakumbuka,Hambantota
Beliatta,Hambantota
Beragama,Hambantota
Beralihela,Hambantota
Bundala,Hambantota
Ellagala,Hambantota
Gangulandeniya,Hambantota
Getamanna,Hambantota
Goda Koggalla,Hambantota
Gonagamuwa Uduwila,Hambantota
Gonnoruwa,Hambantota
Hakuruwela,Hambantota
Hambantota,Hambantota
Handugala,Hambantota
Hungama,Hambantota
Ihala Beligalla,Hambantota
Iththa Demaliya,Hambantota
Julampitiya,Hambantota
Kahandamodara,Hambantota
Kariyamaditta,Hambantota
Katuwana,Hambantota
Kawantissapura,Hambantota
Kirama,Hambantota
Kirinda,Hambantota
Lunama,Hambantota
Lunugamwehera,Hambantota
Magama,Hambantota
Mahagalwewa,Hambantota
Mamadala,Hambantota
Medamulana,Hambantota
Middeniya,Hambantota
Meegahajandura,Hambantota
Modarawana,Hambantota
Mulkirigala,Hambantota
Nakulugamuwa,Hambantota
Netolpitiya,Hambantota
Nihiluwa,Hambantota
Padawkema,Hambantota
Pahala Andarawewa,Hambantota
Rammalawarapitiya,Hambantota
Ranakeliya,Hambantota
Ranmuduwewa,Hambantota
Ranna,Hambantota
Ratmalwala,Hambantota
Ruhunu Ridiyagama,Hambantota
Sooriyawewa Town,Hambantota
Tangalla,Hambantota
Tissamaharama,Hambantota
Uda Gomadiya,Hambantota
Udamattala,Hambantota
Uswewa,Hambantota
Vitharandeniya,Hambantota
Walasmulla,Hambantota
Weeraketiya,Hambantota
Weerawila,Hambantota
Weerawila NewTown,Hambantota
Wekandawela,Hambantota
Weligatta,Hambantota
Yatigala,Hambantota
Jaffna,Jaffna
Agalawatta,Kalutara
Alubomulla,Kalutara
Anguruwatota,Kalutara
Atale,Kalutara
Baduraliya,Kalutara
Bandaragama,Kalutara
Batugampola,Kalutara
Bellana,Kalutara
Beruwala,Kalutara
Bolossagama,Kalutara
Bombuwala,Kalutara
Boralugoda,Kalutara
Bulathsinhala,Kalutara
Danawala Thiniyawala,Kalutara
Delmella,Kalutara
Dharga Town,Kalutara
Diwalakada,Kalutara
Dodangoda,Kalutara
Dombagoda,Kalutara
Ethkandura,Kalutara
Galpatha,Kalutara
Gamagoda,Kalutara
Gonagalpura,Kalutara
Gonapola Junction,Kalutara
Govinna,Kalutara
Gurulubadda,Kalutara
Halkandawila,Kalutara
Haltota,Kalutara
Halvitigala Colony,Kalutara
Halwala,Kalutara
Halwatura,Kalutara
Handapangoda,Kalutara
Hedigalla Colony,Kalutara
Henegama,Kalutara
Hettimulla,Kalutara
Horana,Kalutara
Ittapana,Kalutara
Kahawala,Kalutara
Kalawila Kiranthidiya,Kalutara
Kalutara,Kalutara
Kananwila,Kalutara
Kandanagama,Kalutara
Kelinkanda,Kalutara
Kitulgoda,Kalutara
Koholana,Kalutara
Kuda Uduwa,Kalutara
Labbala,Kalutara
Ihalahewessa,Kalutara
Induruwa,Kalutara
Ingiriya,Kalutara
Maggona,Kalutara
Mahagama,Kalutara
Mahakalupahana,Kalutara
Maharangalla,Kalutara
Malgalla Talangalla,Kalutara
Matugama,Kalutara
Meegahatenna,Kalutara
Meegama,Kalutara
Meegoda,Kalutara
Millaniya,Kalutara
Millewa,Kalutara
Miwanapalana,Kalutara
Molkawa,Kalutara
Morapitiya,Kalutara
Morontuduwa,Kalutara
Nawattuduwa,Kalutara
Neboda,Kalutara
Padagoda,Kalutara
Pahalahewessa,Kalutara
Paiyagala,Kalutara
Panadura,Kalutara
Pannala,Kalutara
Paragastota,Kalutara
Paragoda,Kalutara
Paraigama,Kalutara
Pelanda,Kalutara
Pelawatta,Kalutara
Pimbura,Kalutara
Pitagaldeniya,Kalutara
Pokunuwita,Kalutara
Poruwedanda,Kalutara
Ratmale,Kalutara
Remunagoda,Kalutara
