city,district
Yogapuram,Mullaitivu
Ampalavanpokkanai,Mullaitivu
Ananthapuram,Mullaitivu
Ethawetunuwewa,Mullaitivu
Kokkilai,Mullaitivu
Kokkuthuoduvai,Mullaitivu
Kumulamunai,Mullaitivu
Mullathivu,Mullaitivu
Murukandy,Mullaitivu
Welioya,Mullaitivu
Nedunkerny,Vavuniya
Neriyakulam,Vavuniya
Alagalla,Vavuniya
Andiyapuliyankulam,Vavuniya
Asikulam,Vavuniya
Cheddikulam,Vavuniya
Chemamadukulam,Vavuniya
Iranai lluppaikulam,Vavuniya
Kalmadhu,Vavuniya
Iratta Periyakulama,Vavuniya
Kanagarayankulam,Vavuniya
Kannaddi,Vavuniya
Kela Bogaswewa,Vavuniya
Kovilkulam,Vavuniya
Madukanda,Vavuniya
Mahakachchakodiya,Vavuniya
Mamaduwa,Vavuniya
Maradammaduwa,Vavuniya
Maraiyadithakulam,Vavuniya
Maruthodai,Vavuniya
Mathavuvaithakulam,Vavuniya
Nainamadu,Vavuniya
Nelukkulam,Vavuniya
Nochchimoddai,Vavuniya
Omanthai,Vavuniya
Palamoddai,Vavuniya
Pampaimadu,Vavuniya
Pavakkulama Unit 1,Vavuniya
Pavakkulama Unit 2,Vavuniya
Periyathambanai,Vavuniya
Periya Ulukkulama,Vavuniya
Poovarasankulam,Vavuniya
Puliyankulam,Vavuniya
Sathirikulankulam,Vavuniya
Sinnasippikulam,Vavuniya
Thandikulam,Vavuniya
Vaarikkuttiyoor,Vavuniya
Aandankulam,Mannar
Adampan,Mannar
Arippu,Mannar
Athimottai,Mannar
Chilavathurai,Mannar
Erukkalampiddy,Mannar
Illuppaikadavai,Mannar
Karisal,Mannar
Kokkupadayan,Mannar
Madhu Church,Mannar
Madhu Road,Mannar
Marichchikaddi,Mannar
Mullikulam,Mannar
Murunkan,Mannar
Nanattan,Mannar
Palampiddy,Mannar
Pallimunai,Mannar
Pandaraveli,Mannar
Pappamoddai,Mannar
Parappankandal,Mannar
Parappukadanthan,Mannar
Periyakunchikulam,Mannar
Periyamadhu,Mannar
Periyapandivirichchan,Mannar
Pesalai,Mannar
Potkerny,Mannar
Puthuveli,Mannar
Sooriyakaddaikadhu,Mannar
Thalaimannar,Mannar
Thalaimannar Pier,Mannar
Thalaimannar West,Mannar
Thalvupadu,Mannar
Tharapuram,Mannar
Thiruketheeswaram,Mannar
Uyilankulam,Mannar
Uyirtharasankulam,Mannar
Vaddakandal,Mannar
Vankalai,Mannar
Vellankulam,Mannar
Veppankulam,Mannar
Vidataltivu,Mannar
Mabola,Gampaha
